SPP,Month,Day,Year,PERCENT,PLANTS,nplants_flushing,Angle
ingaqu,Sep,1,2001,1.8519,54,1,240
ingaqu,Oct,1,2001,5.4545,55,3,270
ingaqu,Nov,1,2001,32.7273,55,18,300
ingaqu,Dec,1,2001,0,54,0,330
ingaqu,Jan,1,2002,1.8868,53,1,0
ingaqu,Feb,1,2002,40.8163,49,20,30
ingaqu,Mar,1,2002,14,50,7,60
ingaqu,Apr,1,2002,11.77,51,6,90
ingaqu,May,1,2002,12,50,6,120
ingaqu,Jun,1,2002,0,50,0,150
ingaqu,Jul,1,2002,2.0408,49,1,180
ingaqu,Aug,1,2002,8,50,4,210
ingaqu,Sep,1,2002,2,50,1,240
ingaqu,Oct,1,2002,15.6863,51,8,270
ingaqu,Nov,1,2002,4,50,2,300
ingaqu,Dec,1,2002,5.8824,51,3,330
ingaqu,Jan,1,2003,17.0213,47,8,0
ingaqu,Feb,1,2003,4.2533,47,2,30
ingaqu,Mar,1,2003,10.2041,49,5,60
ingaqu,Apr,1,2003,10.6383,47,5,90
ingaqu,May,1,2003,18,50,9,120
ingaqu,Jun,1,2003,2.0833,48,1,150
ingaqu,Jul,1,2003,0,49,0,180
ingaqu,Aug,1,2003,0,48,0,210
ingaqu,Sep,1,2003,2,50,1,240
ingaqu,Oct,1,2003,8.1633,49,4,270
ingaqu,Nov,1,2003,3.9216,51,2,300
ingaqu,Dec,1,2003,2.0408,49,1,330
ingaqu,Jan,1,2004,42.8571,49,21,0
ingaqu,Feb,1,2004,14,50,7,30
ingaqu,Mar,1,2004,3.9216,51,2,60
ingaqu,Apr,1,2004,21.5686,51,11,90
ingaqu,May,1,2004,19.6078,51,10,120
ingaqu,Jun,1,2004,2,50,1,150
ingaqu,Jul,1,2004,4.0816,49,2,180
ingaqu,Aug,1,2004,16.3265,48,7.8,210
ingaqu,Sep,1,2004,9.0909,44,4,240
ingaqu,Oct,1,2004,35.5556,45,16,270
ingaqu,Nov,1,2004,12.5,48,6,300
ingago,Mar,1,2001,9.375,32,3,60
ingago,Apr,1,2001,10,50,5,90
ingago,May,1,2001,4,50,2,120
ingago,Jun,1,2001,16.3265,49,8,150
ingago,Jul,1,2001,4,50,2,180
ingago,Aug,1,2001,0,50,0,210
ingago,Sep,1,2001,20,50,10,240
ingago,Oct,1,2001,15.6863,51,8,270
ingago,Nov,1,2001,17.6471,51,9,300
ingago,Dec,1,2001,10,50,5,330
ingago,Jan,1,2002,16.3265,49,8,0
ingago,Feb,1,2002,39.1304,46,18,30
ingago,Mar,1,2002,10.6383,47,5,60
ingago,Apr,1,2002,2.04,49,1,90
ingago,May,1,2002,10,50,5,120
ingago,Jun,1,2002,4,50,2,150
ingago,Jul,1,2002,8,50,4,180
ingago,Aug,1,2002,8,50,4,210
ingago,Sep,1,2002,12.5,48,6,240
ingago,Oct,1,2002,34.6939,49,17,270
ingago,Nov,1,2002,12.2449,49,6,300
ingago,Dec,1,2002,0,50,0,330
ingago,Jan,1,2003,26,50,13,0
ingago,Feb,1,2003,0,51,0,30
ingago,Mar,1,2003,4,50,2,60
ingago,Apr,1,2003,11.7647,51,6,90
ingago,May,1,2003,37.2549,51,19,120
ingago,Jun,1,2003,2,50,1,150
ingago,Jul,1,2003,0,49,0,180
ingago,Aug,1,2003,0,49,0,210
ingago,Sep,1,2003,14,50,7,240
ingago,Oct,1,2003,28.5714,49,14,270
ingago,Nov,1,2003,4.1667,48,2,300
ingago,Dec,1,2003,4.0816,49,2,330
ingago,Jan,1,2004,30,50,15,0
ingago,Feb,1,2004,10.4167,48,5,30
ingago,Mar,1,2004,6.383,47,3,60
ingago,Apr,1,2004,6.633,47,3.1,90
ingago,May,1,2004,22.9167,48,11,120
ingago,Jun,1,2004,4.2553,47,2,150
ingago,Jul,1,2004,10.6383,47,5,180
ingago,Aug,1,2004,13.7255,51,7,210
ingago,Sep,1,2004,40,45,18,240
ingago,Oct,1,2004,59.5238,42,25,270
ingago,Nov,1,2004,16.2791,43,7,300
ingaum,Mar,1,2001,35.5556,45,16,60
ingaum,Apr,1,2001,13.7255,51,7,90
ingaum,May,1,2001,9.8039,51,5,120
ingaum,Jun,1,2001,37.2549,51,19,150
ingaum,Jul,1,2001,0,52,0,180
ingaum,Aug,1,2001,0,52,0,210
ingaum,Sep,1,2001,1.9231,52,1,240
ingaum,Oct,1,2001,5.7692,52,3,270
ingaum,Nov,1,2001,13.4615,52,7,300
ingaum,Dec,1,2001,3.8462,52,2,330
ingaum,Jan,1,2002,0,51,0,0
ingaum,Feb,1,2002,75.4717,53,40,30
ingaum,Mar,1,2002,5.6604,53,3,60
ingaum,Apr,1,2002,5.6604,53,3,90
ingaum,May,1,2002,14,50,7,120
ingaum,Jun,1,2002,0,51,0,150
ingaum,Jul,1,2002,0,51,0,180
ingaum,Aug,1,2002,0,51,0,210
ingaum,Sep,1,2002,3.8462,52,2,240
ingaum,Oct,1,2002,26.9231,52,14,270
ingaum,Nov,1,2002,5.8824,51,3,300
ingaum,Dec,1,2002,0,51,0,330
ingaum,Jan,1,2003,51.0204,49,25,0
ingaum,Feb,1,2003,0,51,0,30
ingaum,Mar,1,2003,6,50,3,60
ingaum,Apr,1,2003,4.0816,49,2,90
ingaum,May,1,2003,27.0833,48,13,120
ingaum,Jun,1,2003,0,49,0,150
ingaum,Jul,1,2003,0,49,0,180
ingaum,Aug,1,2003,1.9608,51,1,210
ingaum,Sep,1,2003,0,52,0,240
ingaum,Oct,1,2003,19.2308,52,10,270
ingaum,Nov,1,2003,1.9231,52,1,300
ingaum,Dec,1,2003,3.8462,52,2,330
ingaum,Jan,1,2004,51.0204,49,25,0
ingaum,Feb,1,2004,8.3333,48,4,30
ingaum,Mar,1,2004,2,50,1,60
ingaum,Apr,1,2004,6,50,3,90
ingaum,May,1,2004,20.8333,48,10,120
ingaum,Jun,1,2004,6.25,48,3,150
ingaum,Jul,1,2004,2.1739,46,1,180
ingaum,Aug,1,2004,0,47,0,210
ingaum,Sep,1,2004,19.5122,41,8,240
ingaum,Oct,1,2004,73.1707,41,30,270
ingaum,Nov,1,2004,12.766,47,6,300
ingafa,Mar,1,2001,33.3333,6,2,60
ingafa,Apr,1,2001,0,12,0,90
ingafa,May,1,2001,0,19,0,120
ingafa,Jun,1,2001,13.3333,30,4,150
ingafa,Jul,1,2001,0,35,0,180
ingafa,Aug,1,2001,1.7857,56,1,210
ingafa,Sep,1,2001,1.8519,54,1,240
ingafa,Oct,1,2001,17.3077,52,9,270
ingafa,Nov,1,2001,32.6923,52,17,300
ingafa,Dec,1,2001,0,50,0,330
ingafa,Jan,1,2002,8,50,4,0
ingafa,Feb,1,2002,52,50,26,30
